LATDD83,LONGDD83,Month,Day,FIREYEAR,OWNERAGENCY,PROTECTIONAGENCY,PERIMEXISTS_N,PERIMEXISTS_Y,FIRERPTQC_no,FIRERPTQC_yes,STATCAUSE,TOTALACRES,sizeclass,cluster,cluster_label
48.11255,-114.11781,4,10,2021,9,4,True,False,True,False,3,1.0,B,4,Remote Small Fires
38.78389,-120.15131,11,8,2018,12,12,True,False,False,True,12,0.1,A,1,Urban Wildfires
43.76,-103.9266,7,8,1994,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
45.94194,-117.53611,6,17,1988,12,12,True,False,False,True,6,0.1,A,1,Remote Small Fires
40.04597,-105.77474,8,18,1994,12,12,True,False,True,False,7,0.1,A,0,High-Risk Large Fires
36.975,-120.06389,6,19,1999,9,9,True,False,True,False,0,3.0,B,0,High-Risk Large Fires
45.28222,-121.43528,10,21,2012,12,12,True,False,True,False,1,0.3,B,0,Remote Small Fires
32.78048,-116.90182,6,17,2004,9,9,True,False,True,False,12,0.1,A,4,Urban Wildfires
33.54445,-109.08941,7,14,2020,12,12,False,True,False,True,6,426.0,E,2,High-Risk Large Fires
39.50472,-120.44806,8,15,2004,9,9,True,False,True,False,6,0.1,A,0,Remote Small Fires
46.35611,-122.01056,9,12,2011,12,12,True,False,True,False,11,0.1,A,4,Remote Small Fires
39.28806,-121.21611,9,20,2005,9,9,True,False,True,False,12,0.5,B,4,Urban Wildfires
39.47611,-121.34306,6,12,2006,9,9,True,False,True,False,8,1.0,B,4,Urban Wildfires
34.63333,-81.66667,1,14,1986,12,12,True,False,False,True,0,3.0,B,1,Frequent Small Fires
35.4872,-119.735,5,16,2012,9,9,True,False,True,False,12,0.3,B,4,Urban Wildfires
40.5639,-122.26572,5,30,2014,9,9,True,False,True,False,4,0.25,A,0,Remote Small Fires
39.89115,-123.28782,7,13,2014,9,9,True,False,True,False,0,1.0,B,0,Remote Small Fires
33.67706,-117.37335,9,23,2015,9,9,True,False,True,False,0,0.25,A,0,High-Risk Large Fires
42.45543,-122.13388,7,28,1991,12,12,True,False,True,False,0,0.1,A,0,Remote Small Fires
33.8023,-108.34866,3,2,2017,10,10,False,True,True,False,3,1429.0,F,2,High-Risk Large Fires
34.00028,-109.3763,6,16,2013,12,12,True,False,True,False,6,6.0,B,0,High-Risk Large Fires
36.75949,-118.70924,7,20,1996,8,8,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
